s	algo1_time	algo2_time	algo3_time
1	0.000018	0.000068	0.000003
2	0.000020	0.000063	0.000002
3	0.000020	0.000071	0.000002
4	0.000021	0.000077	0.000002
5	0.000033	0.000091	0.000002
6	0.000037	0.000105	0.000002
7	0.000056	0.000115	0.000002
8	0.000066	0.000122	0.000002
9	0.000118	0.000137	0.000002
10	0.000114	0.000147	0.000002
11	0.000161	0.000148	0.000001
12	0.000187	0.000158	0.000002
13	0.000260	0.000170	0.000002
14	0.000301	0.000186	0.000001
15	0.000394	0.000210	0.000002
16	0.000478	0.000206	0.000002
17	0.000601	0.000223	0.000002
18	0.000685	0.000230	0.000001
19	0.000873	0.000245	0.000002
20	0.001014	0.000258	0.000001
21	0.001256	0.000267	0.000002
22	0.001503	0.000282	0.000002
23	0.001750	0.000300	0.000002
24	0.001986	0.000305	0.000001
25	0.002486	0.000319	0.000002
26	0.002727	0.000384	0.000002
27	0.003219	0.000344	0.000002
28	0.003753	0.000371	0.000002
29	0.004369	0.000368	0.000001
30	0.004139	0.000313	0.000002
31	0.003779	0.000262	0.000001
32	0.004248	0.000267	0.000001
33	0.005317	0.000478	0.000001
34	0.005507	0.000325	0.000001
35	0.006151	0.000291	0.000001
36	0.006823	0.000300	0.000001
37	0.007759	0.000309	0.000001
38	0.008801	0.000450	0.000001
39	0.009756	0.000363	0.000001
40	0.011209	0.000367	0.000002
41	0.012288	0.000377	0.000001
42	0.013277	0.000382	0.000001
43	0.014967	0.000393	0.000001
44	0.016619	0.000404	0.000001
45	0.018554	0.000419	0.000002
46	0.019964	0.000427	0.000002
47	0.022165	0.000429	0.000002
48	0.024446	0.000435	0.000002
49	0.027191	0.000460	0.000002
50	0.029392	0.000448	0.000001
51	0.032646	0.000461	0.000001
52	0.036002	0.000470	0.000002
53	0.039752	0.000647	0.000002
54	0.051692	0.000467	0.000002
55	0.046863	0.000463	0.000002
56	0.060073	0.000490	0.000002
57	0.056245	0.000486	0.000002
58	0.059674	0.000505	0.000002
59	0.065321	0.000500	0.000002
60	0.070879	0.000519	0.000002
61	0.092444	0.000568	0.000003
62	0.081592	0.000553	0.000002
63	0.089792	0.000582	0.000001
64	0.096788	0.000591	0.000001
65	0.105585	0.000598	0.000001
66	0.111517	0.000636	0.000002
67	0.121995	0.000643	0.000002
68	0.133671	0.000656	0.000002
69	0.157863	0.000685	0.000003
70	0.171289	0.000672	0.000003
71	0.177394	0.000680	0.000002
72	0.174754	0.000661	0.000002
73	0.186414	0.000636	0.000002
74	0.210223	0.000650	0.000002
75	0.213621	0.000659	0.000003
76	0.226973	0.000680	0.000002
77	0.247260	0.000675	0.000003
78	0.266592	0.000684	0.000002
79	0.279356	0.000691	0.000002
80	0.299225	0.000697	0.000002
81	0.331040	0.001500	0.000004
82	0.333874	0.000729	0.000003
83	0.359901	0.000725	0.000002
84	0.397979	0.000735	0.000002
85	0.433467	0.000743	0.000003
86	0.433929	0.000749	0.000002
87	0.472223	0.000766	0.000003
88	0.514731	0.000773	0.000003
89	0.532130	0.000777	0.000003
90	0.559710	0.000833	0.000003
91	0.589732	0.000841	0.000003
92	0.644596	0.000849	0.000002
93	0.678045	0.000815	0.000003
94	0.721087	0.000896	0.000003
95	0.740703	0.000888	0.000003
96	0.808627	0.000888	0.000003
97	0.856333	0.000938	0.000003
98	0.877663	0.000910	0.000002
99	0.945253	0.000866	0.000003
100	1.006777	0.000865	0.000002
101	1.063238	0.000883	0.000003
102	1.124983	0.000891	0.000003
103	1.191463	0.000942	0.000003
104	1.250193	0.000943	0.000003
105	1.317802	0.000963	0.000003
106	1.375857	0.000987	0.000002
107	1.451972	0.000936	0.000003
108	1.542157	0.000940	0.000002
109	1.623116	0.000951	0.000003
110	1.736813	0.000974	0.000003
111	1.820278	0.000971	0.000002
112	1.868719	0.001018	0.000002
113	2.040252	0.000978	0.000003
114	2.083411	0.000987	0.000002
115	2.243003	0.000994	0.000003
116	2.336224	0.001002	0.000003
117	2.453522	0.001037	0.000003
118	2.577734	0.001053	0.000003
119	2.698494	0.001062	0.000003
120	2.848829	0.001040	0.000003
121	3.030027	0.001100	0.000003
122	3.118663	0.001058	0.000002
123	3.347715	0.001067	0.000003
124	3.457911	0.001162	0.000003
125	3.723394	0.001140	0.000003
126	3.850791	0.001138	0.000003
127	4.016611	0.001140	0.000003
128	4.227265	0.001097	0.000003
129	4.465322	0.001114	0.000003
130	4.638608	0.001119	0.000003
131	4.872783	0.001211	0.000002
132	5.110245	0.001307	0.000003
133	5.408949	0.001151	0.000002
134	5.647341	0.001159	0.000003
135	5.870671	0.001175	0.000003
136	6.168454	0.001201	0.000002
137	6.534265	0.001235	0.000003
138	6.784033	0.001207	0.000002
139	7.036698	0.001199	0.000003
140	7.398810	0.001337	0.000003
141	7.814644	0.001218	0.000003
142	8.068136	0.001245	0.000003
143	8.531301	0.001242	0.000003
144	8.866463	0.001281	0.000003
145	9.375449	0.001254	0.000002
146	9.643179	0.001262	0.000002
147	10.162186	0.001273	0.000002
148	10.644050	0.001278	0.000003
149	11.201413	0.001328	0.000003
150	0.000000	0.001284	0.000002
151	0.000000	0.001310	0.000002
