s	algo1_time	algo2_time	algo3_time
5000	0.000000	0.036763	0.000008
1	0.000015	0.000056	0.000002
400	0.301254	0.001805	0.000003
2000	0.000000	0.010357	0.000003
300	0.097639	0.001329	0.000003
5	0.000010	0.000044	0.000001
20	0.000040	0.000093	0.000001
1000	0.000000	0.004593	0.000002
20000	0.000000	0.094180	0.000007
500	0.000000	0.002213	0.000002
10	0.000020	0.000067	0.000001
100	0.001920	0.000545	0.000003
50	0.000351	0.000287	0.000002
200	0.020985	0.000877	0.000002
50000	0.000000	0.233464	0.000012
10000	0.000000	0.045914	0.000005
