Taille_Systeme	Quantite	Val_AlgoII	Val_AlgoIII	Ecart	Ecart_Pourcentage
9	700	8	59	51	6.375
9	705	13	64	51	3.923076923076923
9	710	3	69	66	22.0
9	715	8	74	66	8.25
9	720	4	79	75	18.75
9	725	6	84	78	13.0
9	730	11	89	78	7.090909090909091
9	735	7	94	87	12.428571428571429
9	740	6	99	93	15.5
9	745	5	104	99	19.8
9	750	7	109	102	14.571428571428571
9	755	3	114	111	37.0
9	760	8	119	111	13.875
9	765	13	124	111	8.538461538461538
9	770	3	129	126	42.0
9	775	8	134	126	15.75
9	780	13	139	126	9.692307692307692
9	785	6	144	138	23.0
9	790	11	149	138	12.545454545454545
9	795	6	154	148	24.666666666666668
9	800	6	159	153	25.5
9	805	3	3	0	0.0
9	810	5	8	3	0.6
9	815	2	13	11	5.5
9	820	7	18	11	1.5714285714285714
9	825	5	23	18	3.6
9	830	4	4	0	0.0
9	835	6	9	3	0.5
9	840	5	14	9	1.8
9	845	10	19	9	0.9
9	850	6	24	18	3.0
9	855	11	29	18	1.6363636363636365
9	860	7	34	27	3.857142857142857
9	865	6	39	33	5.5
9	870	5	44	39	7.8
9	875	7	49	42	6.0
9	880	12	54	42	3.5
9	885	5	59	54	10.8
9	890	10	64	54	5.4
9	895	6	69	63	10.5
9	900	5	74	69	13.8
9	905	10	79	69	6.9
9	910	6	84	78	13.0
9	915	11	89	78	7.090909090909091
9	920	7	94	87	12.428571428571429
9	925	6	99	93	15.5
9	930	5	104	99	19.8
9	935	7	109	102	14.571428571428571
9	940	12	114	102	8.5
9	945	5	119	114	22.8
9	950	10	124	114	11.4
9	955	5	129	124	24.8
9	960	5	134	129	25.8
9	965	10	139	129	12.9
9	970	5	144	139	27.8
9	975	9	149	140	15.555555555555555
9	980	2	2	0	0.0
9	985	6	7	1	0.16666666666666666
9	990	3	12	9	3.0
9	995	8	17	9	1.125
9	1000	4	22	18	4.5
9	1005	7	27	20	2.857142857142857
9	1010	5	32	27	5.4
9	1015	4	37	33	8.25
9	1020	6	42	36	6.0
9	1025	2	2	0	0.0
9	1030	5	7	2	0.4
9	1035	6	12	6	1.0
9	1040	2	2	0	0.0
9	1045	4	7	3	0.75
9	1050	6	12	6	1.0
9	1055	5	17	12	2.4
9	1060	4	22	18	4.5
9	1065	9	27	18	2.0
9	1070	5	32	27	5.4
9	1075	4	37	33	8.25
9	1080	6	42	36	6.0
9	1085	5	47	42	8.4
9	1090	4	52	48	12.0
9	1095	6	57	51	8.5
9	1100	11	62	51	4.636363636363637
9	1105	4	67	63	15.75
9	1110	6	72	66	11.0
9	1115	4	77	73	18.25
9	1120	4	82	78	19.5
9	1125	9	87	78	8.666666666666666
9	1130	4	92	88	22.0
9	1135	4	97	93	23.25
9	1140	5	102	97	19.4
9	1145	5	107	102	20.4
9	1150	4	112	108	27.0
9	1155	5	117	112	22.4
9	1160	9	122	113	12.555555555555555
9	1165	4	127	123	30.75
9	1170	6	132	126	21.0
9	1175	4	137	133	33.25
9	1180	4	142	138	34.5
9	1185	9	147	138	15.333333333333334
9	1190	4	152	148	37.0
9	1195	4	157	153	38.25
9	1200	4	162	158	39.5
9	1205	6	6	0	0.0
9	1210	5	11	6	1.2
9	1215	5	16	11	2.2
9	1220	6	21	15	2.5
9	1225	8	26	18	2.25
9	1230	7	7	0	0.0
9	1235	6	12	6	1.0
9	1240	8	17	9	1.125
9	1245	4	22	18	4.5
9	1250	9	27	18	2.0
9	1255	5	32	27	5.4
9	1260	4	37	33	8.25
9	1265	6	42	36	6.0
9	1270	5	47	42	8.4
9	1275	6	6	0	0.0
9	1280	6	11	5	0.8333333333333334
9	1285	3	3	0	0.0
9	1290	4	8	4	1.0
9	1295	6	13	7	1.1666666666666667
9	1300	5	18	13	2.6
9	1305	3	23	20	6.666666666666667
9	1310	7	28	21	3.0
9	1315	4	33	29	7.25
9	1320	4	38	34	8.5
9	1325	5	43	38	7.6
9	1330	5	48	43	8.6
9	1335	4	53	49	12.25
9	1340	5	58	53	10.6
9	1345	8	63	55	6.875
9	1350	3	68	65	21.666666666666668
9	1355	6	73	67	11.166666666666666
9	1360	4	78	74	18.5
9	1365	3	83	80	26.666666666666668
9	1370	7	88	81	11.571428571428571
9	1375	4	93	89	22.25
9	1380	4	98	94	23.5
9	1385	5	103	98	19.6
9	1390	6	108	102	17.0
9	1395	3	113	110	36.666666666666664
9	1400	5	118	113	22.6
9	1405	9	123	114	12.666666666666666
9	1410	3	128	125	41.666666666666664
9	1415	7	133	126	18.0
9	1420	3	138	135	45.0
9	1425	3	143	140	46.666666666666664
9	1430	7	148	141	20.142857142857142
9	1435	5	153	148	29.6
9	1440	5	158	153	30.6
9	1445	4	163	159	39.75
9	1450	7	7	0	0.0
9	1455	7	12	5	0.7142857142857143
9	1460	6	17	11	1.8333333333333333
9	1465	6	22	16	2.6666666666666665
9	1470	3	3	0	0.0
9	1475	7	8	1	0.14285714285714285
9	1480	4	13	9	2.25
9	1485	8	18	10	1.25
9	1490	5	23	18	3.6
9	1495	8	28	20	2.5
9	1500	6	33	27	4.5
9	1505	5	38	33	6.6
9	1510	6	43	37	6.166666666666667
9	1515	6	48	42	7.0
9	1520	7	53	46	6.571428571428571
9	1525	4	58	54	13.5
9	1530	7	63	56	8.0
9	1535	5	68	63	12.6
9	1540	4	73	69	17.25
9	1545	6	78	72	12.0
9	1550	5	83	78	15.6
9	1555	7	88	81	11.571428571428571
9	1560	6	93	87	14.5
9	1565	5	98	93	18.6
9	1570	4	103	99	24.75
9	1575	6	108	102	17.0
9	1580	7	113	106	15.142857142857142
9	1585	4	118	114	28.5
9	1590	6	123	117	19.5
9	1595	4	128	124	31.0
9	1600	4	133	129	32.25
9	1605	6	138	132	22.0
9	1610	4	143	139	34.75
9	1615	6	148	142	23.666666666666668
9	1620	5	153	148	29.6
9	1625	5	6	1	0.2
9	1630	4	11	7	1.75
9	1635	6	16	10	1.6666666666666667
9	1640	7	21	14	2.0
9	1645	6	26	20	3.3333333333333335
9	1650	6	31	25	4.166666666666667
9	1655	4	36	32	8.0
9	1660	6	41	35	5.833333333333333
9	1665	6	46	40	6.666666666666667
9	1670	4	6	2	0.5
9	1675	6	11	5	0.8333333333333334
9	1680	6	16	10	1.6666666666666667
9	1685	6	6	0	0.0
9	1690	5	11	6	1.2
9	1695	6	16	10	1.6666666666666667
9	1700	6	21	15	2.5
9	1705	6	26	20	3.3333333333333335
9	1710	6	31	25	4.166666666666667
9	1715	7	36	29	4.142857142857143
9	1720	6	41	35	5.833333333333333
9	1725	6	46	40	6.666666666666667
9	1730	8	51	43	5.375
9	1735	5	56	51	10.2
9	1740	6	61	55	9.166666666666666
9	1745	6	66	60	10.0
9	1750	5	71	66	13.2
9	1755	6	76	70	11.666666666666666
9	1760	6	81	75	12.5
9	1765	6	86	80	13.333333333333334
9	1770	5	91	86	17.2
9	1775	7	96	89	12.714285714285714
9	1780	5	101	96	19.2
9	1785	5	106	101	20.2
9	1790	6	111	105	17.5
9	1795	4	116	112	28.0
9	1800	7	121	114	16.285714285714285
9	1805	5	126	121	24.2
9	1810	5	131	126	25.2
9	1815	6	136	130	21.666666666666668
9	1820	6	141	135	22.5
9	1825	5	146	141	28.2
9	1830	5	151	146	29.2
9	1835	6	156	150	25.0
9	1840	4	161	157	39.25
9	1845	5	5	0	0.0
9	1850	5	10	5	1.0
9	1855	4	15	11	2.75
9	1860	6	20	14	2.3333333333333335
9	1865	5	25	20	4.0
9	1870	5	6	1	0.2
9	1875	6	11	5	0.8333333333333334
9	1880	6	16	10	1.6666666666666667
9	1885	5	21	16	3.2
9	1890	6	26	20	3.3333333333333335
9	1895	5	31	26	5.2
9	1900	3	36	33	11.0
9	1905	6	41	35	5.833333333333333
9	1910	5	46	41	8.2
9	1915	5	5	0	0.0
9	1920	5	10	5	1.0
9	1925	5	15	10	2.0
9	1930	5	7	2	0.4
9	1935	5	12	7	1.4
9	1940	5	17	12	2.4
9	1945	5	22	17	3.4
9	1950	6	27	21	3.5
9	1955	5	32	27	5.4
9	1960	4	37	33	8.25
9	1965	5	42	37	7.4
9	1970	5	47	42	8.4
9	1975	5	52	47	9.4
9	1980	5	57	52	10.4
9	1985	5	62	57	11.4
9	1990	5	67	62	12.4
9	1995	5	72	67	13.4
9	2000	7	77	70	10.0
9	2005	4	82	78	19.5
9	2010	6	87	81	13.5
9	2015	5	92	87	17.4
9	2020	4	97	93	23.25
9	2025	5	102	97	19.4
9	2030	5	107	102	20.4
9	2035	7	112	105	15.0
9	2040	5	117	112	22.4
9	2045	7	122	115	16.428571428571427
9	2050	4	127	123	30.75
9	2055	5	132	127	25.4
9	2060	6	137	131	21.833333333333332
9	2065	4	142	138	34.5
9	2070	6	147	141	23.5
9	2075	4	152	148	37.0
9	2080	4	157	153	38.25
9	2085	6	162	156	26.0
9	2090	6	6	0	0.0
9	2095	6	11	5	0.8333333333333334
9	2100	5	16	11	2.2
9	2105	6	21	15	2.5
9	2110	6	26	20	3.3333333333333335
9	2115	6	7	1	0.16666666666666666
9	2120	5	12	7	1.4
9	2125	7	17	10	1.4285714285714286
9	2130	6	22	16	2.6666666666666665
9	2135	6	27	21	3.5
9	2140	6	32	26	4.333333333333333
9	2145	6	37	31	5.166666666666667
9	2150	6	42	36	6.0
9	2155	6	47	41	6.833333333333333
9	2160	6	52	46	7.666666666666667
9	2165	5	57	52	10.4
9	2170	6	62	56	9.333333333333334
9	2175	6	67	61	10.166666666666666
9	2180	5	72	67	13.4
9	2185	7	77	70	10.0
9	2190	6	82	76	12.666666666666666
9	2195	6	87	81	13.5
9	2200	6	92	86	14.333333333333334
9	2205	6	97	91	15.166666666666666
9	2210	5	102	97	19.4
9	2215	6	107	101	16.833333333333332
9	2220	6	112	106	17.666666666666668
9	2225	4	117	113	28.25
9	2230	6	122	116	19.333333333333332
9	2235	5	127	122	24.4
9	2240	5	132	127	25.4
9	2245	8	137	129	16.125
9	2250	5	142	137	27.4
9	2255	7	147	140	20.0
9	2260	6	152	146	24.333333333333332
9	2265	5	5	0	0.0
9	2270	4	10	6	1.5
9	2275	6	15	9	1.5
9	2280	7	20	13	1.8571428571428572
9	2285	4	25	21	5.25
9	2290	8	30	22	2.75
9	2295	6	35	29	4.833333333333333
9	2300	6	40	34	5.666666666666667
9	2305	7	45	38	5.428571428571429
9	2310	5	5	0	0.0
9	2315	6	10	4	0.6666666666666666
9	2320	7	15	8	1.1428571428571428
9	2325	5	5	0	0.0
9	2330	5	10	5	1.0
9	2335	8	15	7	0.875
9	2340	6	20	14	2.3333333333333335
9	2345	5	25	20	4.0
9	2350	7	30	23	3.2857142857142856
9	2355	6	35	29	4.833333333333333
9	2360	6	40	34	5.666666666666667
9	2365	7	45	38	5.428571428571429
9	2370	7	50	43	6.142857142857143
9	2375	5	55	50	10.0
9	2380	7	60	53	7.571428571428571
9	2385	6	65	59	9.833333333333334
9	2390	5	70	65	13.0
9	2395	7	75	68	9.714285714285714
9	2400	5	80	75	15.0
9	2405	5	85	80	16.0
9	2410	6	90	84	14.0
9	2415	6	95	89	14.833333333333334
9	2420	5	100	95	19.0
9	2425	6	105	99	16.5
9	2430	7	110	103	14.714285714285714
9	2435	5	115	110	22.0
9	2440	7	120	113	16.142857142857142
9	2445	5	125	120	24.0
9	2450	5	130	125	25.0
9	2455	7	135	128	18.285714285714285
9	2460	5	140	135	27.0
9	2465	5	145	140	28.0
9	2470	6	150	144	24.0
