s	algo1_time	algo2_time	algo3_time
1	0.000013	0.000060	0.000003
2	0.000011	0.000038	0.000002
3	0.000000	0.000053	0.000002
4	0.000014	0.000059	0.000002
5	0.000020	0.000065	0.000002
6	0.000000	0.000057	0.000001
7	0.000029	0.000077	0.000002
8	0.000032	0.000082	0.000002
9	0.000000	0.000088	0.000002
10	0.000050	0.000083	0.000001
11	0.000060	0.000100	0.000001
12	0.000000	0.000109	0.000002
13	0.000087	0.000114	0.000002
14	0.000097	0.000109	0.000001
15	0.000000	0.000127	0.000001
16	0.000130	0.000129	0.000001
17	0.000215	0.000146	0.000002
18	0.000000	0.000133	0.000001
19	0.000219	0.000242	0.000002
20	0.000234	0.000148	0.000001
21	0.000000	0.000152	0.000001
22	0.000298	0.000163	0.000001
23	0.000342	0.000166	0.000001
24	0.000000	0.000172	0.000002
25	0.000433	0.000180	0.000001
26	0.000790	0.000233	0.000002
27	0.000000	0.000292	0.000002
28	0.000695	0.000261	0.000002
29	0.000816	0.000271	0.000002
30	0.000000	0.000274	0.000002
31	0.001006	0.000285	0.000002
32	0.001057	0.000287	0.000002
33	0.000000	0.000297	0.000002
34	0.001415	0.000336	0.000002
35	0.001420	0.000288	0.000002
36	0.000000	0.000297	0.000001
37	0.001662	0.000342	0.000002
38	0.001638	0.000274	0.000002
39	0.000000	0.000306	0.000002
40	0.001723	0.000283	0.000001
41	0.001981	0.000294	0.000002
42	0.000000	0.000298	0.000002
43	0.002252	0.001218	0.000002
44	0.002315	0.000306	0.000001
45	0.000000	0.000336	0.000001
46	0.002373	0.000218	0.000002
47	0.001868	0.000340	0.000001
48	0.000000	0.000220	0.000001
49	0.002263	0.000274	0.000001
50	0.002206	0.000227	0.000001
51	0.000000	0.000231	0.000001
52	0.002668	0.000239	0.000001
53	0.002849	0.000348	0.000002
54	0.000000	0.000321	0.000002
55	0.003235	0.000280	0.000001
56	0.003310	0.000266	0.000001
57	0.000000	0.000264	0.000001
58	0.003687	0.000275	0.000001
59	0.003959	0.000283	0.000001
60	0.000000	0.000276	0.000001
61	0.004396	0.000287	0.000001
62	0.004677	0.000294	0.000001
63	0.000000	0.000292	0.000001
64	0.005221	0.000300	0.000001
65	0.005648	0.000309	0.000001
66	0.000000	0.000297	0.000001
67	0.006361	0.000309	0.000001
68	0.006382	0.000309	0.000001
69	0.000000	0.000319	0.000001
70	0.007354	0.000323	0.000001
71	0.007754	0.000367	0.000001
72	0.000000	0.000352	0.000001
73	0.008498	0.000365	0.000001
74	0.008817	0.000375	0.000001
75	0.000000	0.000371	0.000001
76	0.009769	0.000392	0.000001
77	0.010341	0.000398	0.000002
78	0.000000	0.000383	0.000001
79	0.011398	0.000406	0.000001
80	0.011651	0.000404	0.000002
81	0.000000	0.000389	0.000001
82	0.012697	0.000379	0.000001
83	0.013237	0.000393	0.000001
84	0.000000	0.000379	0.000001
85	0.014896	0.000448	0.000001
86	0.015270	0.000435	0.000001
87	0.000000	0.000441	0.000001
88	0.016082	0.000442	0.000001
89	0.016764	0.000446	0.000001
90	0.000000	0.000438	0.000001
91	0.018843	0.000436	0.000001
92	0.019131	0.000432	0.000001
93	0.000000	0.000428	0.000001
94	0.020883	0.000492	0.000002
95	0.021568	0.000452	0.000002
96	0.000000	0.000442	0.000001
97	0.023418	0.000451	0.000002
98	0.025604	0.000586	0.000002
99	0.000000	0.000619	0.000002
100	0.035177	0.000512	0.000002
101	0.026780	0.000478	0.000002
102	0.000000	0.000499	0.000001
103	0.028881	0.000476	0.000001
104	0.029869	0.000500	0.000001
105	0.000000	0.000477	0.000001
106	0.032452	0.000611	0.000002
107	0.033233	0.000680	0.000002
108	0.000000	0.000508	0.000001
109	0.035922	0.000506	0.000002
110	0.037266	0.000505	0.000002
111	0.000000	0.000503	0.000001
112	0.040222	0.000514	0.000001
113	0.041757	0.000518	0.000001
114	0.000000	0.000512	0.000001
115	0.044870	0.000531	0.000001
116	0.046160	0.000532	0.000001
117	0.000000	0.000527	0.000001
118	0.049739	0.000543	0.000002
119	0.052332	0.000554	0.000001
120	0.000000	0.000549	0.000001
121	0.055271	0.000567	0.000002
122	0.062355	0.000575	0.000001
123	0.000000	0.000567	0.000001
124	0.060922	0.000652	0.000003
125	0.064449	0.000640	0.000003
126	0.000000	0.000602	0.000001
127	0.070305	0.000641	0.000002
128	0.070447	0.000619	0.000002
129	0.000000	0.000666	0.000002
130	0.075942	0.000757	0.000002
131	0.078828	0.000666	0.000002
132	0.000000	0.000625	0.000001
133	0.082947	0.000634	0.000002
134	0.085105	0.000634	0.000002
135	0.000000	0.000612	0.000001
136	0.092432	0.000633	0.000001
137	0.095297	0.000906	0.000002
138	0.000000	0.001060	0.000002
139	0.108126	0.000659	0.000002
140	0.104825	0.000688	0.000002
141	0.000000	0.000644	0.000001
142	0.111075	0.000677	0.000002
143	0.116101	0.000713	0.000002
144	0.000000	0.000678	0.000001
145	0.129234	0.000765	0.000003
146	0.129699	0.000739	0.000003
147	0.000000	0.000695	0.000001
148	0.133358	0.000738	0.000002
149	0.140406	0.000735	0.000002
150	0.000000	0.000710	0.000002
151	0.146078	0.000720	0.000002
152	0.154917	0.000718	0.000002
153	0.000000	0.000701	0.000001
154	0.159185	0.000728	0.000003
155	0.177216	0.000741	0.000002
156	0.000000	0.000706	0.000001
157	0.174524	0.000740	0.000002
158	0.179940	0.000752	0.000002
159	0.000000	0.000719	0.000001
160	0.191122	0.000752	0.000002
161	0.207775	0.000776	0.000003
162	0.000000	0.000742	0.000001
163	0.212476	0.000811	0.000003
164	0.229533	0.000781	0.000002
165	0.000000	0.000764	0.000002
166	0.222630	0.000782	0.000002
167	0.229836	0.000841	0.000002
168	0.000000	0.000798	0.000001
169	0.243854	0.000877	0.000003
170	0.260405	0.000885	0.000003
171	0.000000	0.000813	0.000002
172	0.261683	0.000872	0.000003
173	0.270218	0.001122	0.000003
174	0.000000	0.000842	0.000002
175	0.285390	0.000878	0.000003
176	0.289652	0.000882	0.000002
177	0.000000	0.000840	0.000002
178	0.306355	0.001290	0.000003
179	0.318897	0.000851	0.000003
180	0.000000	0.000818	0.000001
181	0.332635	0.001229	0.000003
182	0.355540	0.001491	0.000004
183	0.000000	0.001641	0.000002
184	0.393628	0.000874	0.000003
185	0.364540	0.000886	0.000003
186	0.000000	0.000838	0.000002
187	0.388757	0.000890	0.000003
188	0.392524	0.000916	0.000003
189	0.000000	0.000870	0.000001
190	0.414960	0.000901	0.000002
191	0.427732	0.001745	0.000004
192	0.000000	0.001712	0.000003
193	0.450666	0.000923	0.000002
194	0.458584	0.000918	0.000002
195	0.000000	0.000894	0.000001
196	0.478198	0.000920	0.000002
197	0.499027	0.000939	0.000002
198	0.000000	0.000911	0.000001
199	0.515230	0.000954	0.000003
200	0.544483	0.000952	0.000002
201	0.000000	0.000927	0.000001
202	0.571579	0.000952	0.000003
203	0.568374	0.000960	0.000002
204	0.000000	0.000924	0.000002
205	0.610292	0.000967	0.000003
206	0.607365	0.000981	0.000003
207	0.000000	0.000949	0.000002
208	0.629872	0.000981	0.000003
209	0.640226	0.000984	0.000002
210	0.000000	0.000972	0.000001
211	0.671232	0.001021	0.000003
212	0.682558	0.001015	0.000003
213	0.000000	0.000972	0.000001
214	0.750444	0.001076	0.000003
215	0.736007	0.001009	0.000002
216	0.000000	0.000978	0.000001
217	0.782428	0.001020	0.000003
218	0.779538	0.001029	0.000003
219	0.000000	0.001010	0.000001
220	0.810439	0.001036	0.000003
221	0.826685	0.001039	0.000003
222	0.000000	0.001018	0.000002
223	0.890666	0.001071	0.000003
224	0.932749	0.001078	0.000002
225	0.000000	0.001024	0.000002
226	0.924390	0.001082	0.000003
227	0.938303	0.001090	0.000003
228	0.000000	0.001052	0.000001
229	0.980049	0.001127	0.000003
230	1.004909	0.001155	0.000002
231	0.000000	0.001083	0.000001
232	1.054572	0.001142	0.000002
233	1.075233	0.001097	0.000002
234	0.000000	0.001061	0.000001
235	1.100130	0.001169	0.000002
236	1.123406	0.001193	0.000002
237	0.000000	0.001120	0.000002
238	1.181000	0.001205	0.000003
239	1.255983	0.001127	0.000003
240	0.000000	0.001090	0.000001
241	1.250570	0.001137	0.000003
242	1.269110	0.001149	0.000003
243	0.000000	0.001107	0.000001
244	1.315078	0.001144	0.000002
245	1.363719	0.001200	0.000003
246	0.000000	0.001168	0.000002
247	1.373981	0.001167	0.000003
248	1.401758	0.001169	0.000003
249	0.000000	0.001143	0.000002
250	1.473000	0.001171	0.000002
251	1.555611	0.001180	0.000002
252	0.000000	0.001146	0.000002
253	1.542884	0.001211	0.000003
254	1.608306	0.001286	0.000002
255	0.000000	0.001235	0.000002
256	1.653497	0.002158	0.000003
257	1.660263	0.001236	0.000003
258	0.000000	0.001178	0.000001
259	1.727289	0.001287	0.000003
260	1.787934	0.001218	0.000002
261	0.000000	0.001198	0.000002
262	1.835684	0.001230	0.000002
263	1.857194	0.001243	0.000002
264	0.000000	0.001205	0.000001
265	1.928458	0.002369	0.000004
266	1.959374	0.001258	0.000003
267	0.000000	0.001212	0.000002
268	2.035606	0.001331	0.000003
269	2.052303	0.001267	0.000004
270	0.000000	0.001223	0.000001
271	2.118344	0.001278	0.000002
272	2.165914	0.001291	0.000003
273	0.000000	0.001258	0.000001
274	2.232633	0.001289	0.000003
275	2.284411	0.001300	0.000003
276	0.000000	0.001266	0.000002
277	2.356961	0.001302	0.000003
278	2.387503	0.001298	0.000003
279	0.000000	0.001265	0.000001
280	2.477098	0.001308	0.000003
281	2.523995	0.001377	0.000003
282	0.000000	0.001352	0.000002
283	2.618295	0.001385	0.000003
284	2.597205	0.001376	0.000003
285	0.000000	0.001354	0.000002
286	2.719837	0.001345	0.000003
287	2.781982	0.001384	0.000003
288	0.000000	0.001328	0.000001
289	2.862225	0.001356	0.000002
290	2.883898	0.001362	0.000003
291	0.000000	0.001338	0.000002
292	3.032835	0.001435	0.000002
293	3.020689	0.001449	0.000003
294	0.000000	0.001375	0.000002
295	3.173572	0.001439	0.000002
296	3.158635	0.001460	0.000003
297	0.000000	0.001406	0.000002
298	3.287880	0.001413	0.000003
299	3.349392	0.001396	0.000003
300	0.000000	0.001389	0.000002
301	0.000000	0.001369	0.000001
302	0.000000	0.001399	0.000001
303	0.000000	0.001544	0.000003
304	0.000000	0.001415	0.000001
305	0.000000	0.001440	0.000001
306	0.000000	0.001473	0.000002
307	0.000000	0.001596	0.000002
308	0.000000	0.001450	0.000001
309	0.000000	0.001437	0.000002
310	0.000000	0.001516	0.000002
311	0.000000	0.001833	0.000002
312	0.000000	0.001462	0.000001
313	0.000000	0.001468	0.000001
314	0.000000	0.001726	0.000002
315	0.000000	0.001503	0.000002
316	0.000000	0.001473	0.000001
317	0.000000	0.001476	0.000001
318	0.000000	0.001734	0.000002
319	0.000000	0.001493	0.000001
320	0.000000	0.001536	0.000001
321	0.000000	0.001490	0.000002
322	0.000000	0.001546	0.000002
323	0.000000	0.001690	0.000002
324	0.000000	0.001503	0.000001
325	0.000000	0.001502	0.000001
326	0.000000	0.001739	0.000002
327	0.000000	0.001520	0.000002
328	0.000000	0.001543	0.000001
329	0.000000	0.001859	0.000002
330	0.000000	0.001655	0.000001
331	0.000000	0.001503	0.000001
332	0.000000	0.001629	0.000001
333	0.000000	0.001813	0.000002
334	0.000000	0.001551	0.000002
335	0.000000	0.001566	0.000002
336	0.000000	0.001685	0.000002
337	0.000000	0.001931	0.000002
338	0.000000	0.001588	0.000002
339	0.000000	0.001585	0.000001
340	0.000000	0.001602	0.000001
341	0.000000	0.001789	0.000002
342	0.000000	0.001618	0.000002
343	0.000000	0.001593	0.000002
344	0.000000	0.001642	0.000002
345	0.000000	0.001780	0.000002
346	0.000000	0.001615	0.000002
347	0.000000	0.001675	0.000001
348	0.000000	0.001811	0.000001
349	0.000000	0.001666	0.000002
350	0.000000	0.001609	0.000001
351	0.000000	0.001722	0.000002
352	0.000000	0.001625	0.000001
353	0.000000	0.001620	0.000001
354	0.000000	0.001766	0.000001
355	0.000000	0.001613	0.000001
356	0.000000	0.001668	0.000001
357	0.000000	0.001701	0.000001
358	0.000000	0.001804	0.000001
359	0.000000	0.001723	0.000002
360	0.000000	0.001853	0.000002
361	0.000000	0.002074	0.000002
362	0.000000	0.001712	0.000002
363	0.000000	0.001719	0.000002
364	0.000000	0.001803	0.000002
365	0.000000	0.002110	0.000002
366	0.000000	0.001896	0.000002
367	0.000000	0.002020	0.000002
368	0.000000	0.002048	0.000002
369	0.000000	0.001741	0.000002
370	0.000000	0.001761	0.000002
371	0.000000	0.001888	0.000001
372	0.000000	0.001721	0.000001
373	0.000000	0.001758	0.000002
374	0.000000	0.002193	0.000002
375	0.000000	0.001761	0.000001
376	0.000000	0.001847	0.000002
377	0.000000	0.002011	0.000002
378	0.000000	0.001799	0.000001
379	0.000000	0.001801	0.000001
380	0.000000	0.001893	0.000002
381	0.000000	0.001749	0.000001
382	0.000000	0.001920	0.000002
383	0.000000	0.001990	0.000002
384	0.000000	0.001783	0.000001
385	0.000000	0.001816	0.000002
386	0.000000	0.002200	0.000002
387	0.000000	0.001772	0.000001
388	0.000000	0.001845	0.000002
389	0.000000	0.001883	0.000002
390	0.000000	0.001812	0.000001
391	0.000000	0.001849	0.000001
392	0.000000	0.002165	0.000002
393	0.000000	0.001798	0.000001
394	0.000000	0.001880	0.000002
395	0.000000	0.001928	0.000002
396	0.000000	0.001814	0.000001
397	0.000000	0.001996	0.000002
398	0.000000	0.002162	0.000002
399	0.000000	0.001859	0.000002
400	0.000000	0.001941	0.000002
401	0.000000	0.002018	0.000002
402	0.000000	0.002010	0.000001
403	0.000000	0.001920	0.000002
404	0.000000	0.001972	0.000002
405	0.000000	0.001878	0.000001
406	0.000000	0.002046	0.000002
407	0.000000	0.002084	0.000002
408	0.000000	0.001877	0.000001
409	0.000000	0.001863	0.000001
410	0.000000	0.002147	0.000002
411	0.000000	0.002073	0.000002
412	0.000000	0.001899	0.000001
413	0.000000	0.001997	0.000002
414	0.000000	0.001905	0.000002
415	0.000000	0.001899	0.000001
416	0.000000	0.002090	0.000002
417	0.000000	0.002019	0.000001
418	0.000000	0.001925	0.000001
419	0.000000	0.002117	0.000002
420	0.000000	0.002117	0.000001
421	0.000000	0.001929	0.000001
422	0.000000	0.002117	0.000002
423	0.000000	0.001945	0.000002
424	0.000000	0.002225	0.000002
425	0.000000	0.002039	0.000001
426	0.000000	0.001966	0.000001
427	0.000000	0.002057	0.000002
428	0.000000	0.002184	0.000002
429	0.000000	0.001951	0.000002
430	0.000000	0.002067	0.000001
431	0.000000	0.002226	0.000002
432	0.000000	0.001976	0.000001
433	0.000000	0.001987	0.000003
434	0.000000	0.002072	0.000001
435	0.000000	0.001986	0.000001
436	0.000000	0.002185	0.000001
437	0.000000	0.002140	0.000002
438	0.000000	0.002009	0.000002
439	0.000000	0.001998	0.000001
440	0.000000	0.002090	0.000002
441	0.000000	0.002210	0.000002
442	0.000000	0.002231	0.000002
443	0.000000	0.002069	0.000001
444	0.000000	0.002325	0.000002
445	0.000000	0.002130	0.000002
446	0.000000	0.002160	0.000002
447	0.000000	0.002094	0.000002
448	0.000000	0.002115	0.000001
449	0.000000	0.002288	0.000001
450	0.000000	0.002126	0.000001
451	0.000000	0.002148	0.000002
452	0.000000	0.002191	0.000001
453	0.000000	0.002212	0.000001
454	0.000000	0.002204	0.000002
455	0.000000	0.002179	0.000001
456	0.000000	0.002157	0.000002
